,0
hba1c,0.5582105837078536
glucose_postprandial,0.23485744930506733
glucose_fasting,0.16237069939170093
family_history_diabetes,0.014682574483853345
Age,0.0055463112773968416
physical_activity_minutes_per_week,0.0038183852926324266
bmi,0.0026237463192101684
systolic_bp,0.002084016292486979
ldl_cholesterol,0.0014629780737963939
triglycerides,0.0014516402479627223
cholesterol_total,0.0014500253658798858
waist_to_hip_ratio,0.001439012584040557
insulin_level,0.00137289200018874
hdl_cholesterol,0.0013196066508449585
diet_score,0.0011691693646049496
screen_time_hours_per_day,0.0010509063794356785
heart_rate,0.001028463266319057
diastolic_bp,0.0009838802292206103
sleep_hours_per_day,0.000976605684663653
alcohol_consumption_per_week,0.00040345134466438106
cardiovascular_history,0.00013233314238966573
hypertension_history,0.00010767463830884386
gender_Male,0.00010159100841714014
ethnicity_White,9.590887919875127e-05
employment_status_Retired,9.547288646442713e-05
income_level_Middle,8.928996368923362e-05
education_level_Postgraduate,8.712536897885515e-05
income_level_Lower-Middle,8.491159951378366e-05
income_level_Low,8.293976149426494e-05
employment_status_Student,8.202609288790211e-05
smoking_status_Former,8.159950942144702e-05
income_level_Upper-Middle,8.125199956508791e-05
education_level_Highschool,8.024820373421387e-05
employment_status_Unemployed,7.770591137019318e-05
ethnicity_Black,7.317867347550251e-05
ethnicity_Hispanic,7.1371468090621e-05
smoking_status_Never,7.122719128319622e-05
gender_Other,7.034081277761672e-05
education_level_No formal,6.883137152840063e-05
ethnicity_Other,6.257425558764262e-05
